pmid,title,abstract,authors,journal,publication_year,doi,mesh_terms,publication_type
40452048,Study Title for PMID 40452048,Abstract text for PMID 40452048,"Author1, Author2 et al.",Journal Name,2023,10.1000/40452048,"Fibromyalgia, Microbiome",Journal Article
40059505,Study Title for PMID 40059505,Abstract text for PMID 40059505,"Author1, Author2 et al.",Journal Name,2023,10.1000/40059505,"Fibromyalgia, Microbiome",Journal Article
39456224,Study Title for PMID 39456224,Abstract text for PMID 39456224,"Author1, Author2 et al.",Journal Name,2023,10.1000/39456224,"Fibromyalgia, Microbiome",Journal Article
38233990,Study Title for PMID 38233990,Abstract text for PMID 38233990,"Author1, Author2 et al.",Journal Name,2023,10.1000/38233990,"Fibromyalgia, Microbiome",Journal Article
37866648,Study Title for PMID 37866648,Abstract text for PMID 37866648,"Author1, Author2 et al.",Journal Name,2023,10.1000/37866648,"Fibromyalgia, Microbiome",Journal Article
36833885,Study Title for PMID 36833885,Abstract text for PMID 36833885,"Author1, Author2 et al.",Journal Name,2023,10.1000/36833885,"Fibromyalgia, Microbiome",Journal Article
36810418,Study Title for PMID 36810418,Abstract text for PMID 36810418,"Author1, Author2 et al.",Journal Name,2023,10.1000/36810418,"Fibromyalgia, Microbiome",Journal Article
36149895,Study Title for PMID 36149895,Abstract text for PMID 36149895,"Author1, Author2 et al.",Journal Name,2023,10.1000/36149895,"Fibromyalgia, Microbiome",Journal Article
36095141,Study Title for PMID 36095141,Abstract text for PMID 36095141,"Author1, Author2 et al.",Journal Name,2023,10.1000/36095141,"Fibromyalgia, Microbiome",Journal Article
35594658,Study Title for PMID 35594658,Abstract text for PMID 35594658,"Author1, Author2 et al.",Journal Name,2023,10.1000/35594658,"Fibromyalgia, Microbiome",Journal Article
34628447,Study Title for PMID 34628447,Abstract text for PMID 34628447,"Author1, Author2 et al.",Journal Name,2023,10.1000/34628447,"Fibromyalgia, Microbiome",Journal Article
34209042,Study Title for PMID 34209042,Abstract text for PMID 34209042,"Author1, Author2 et al.",Journal Name,2023,10.1000/34209042,"Fibromyalgia, Microbiome",Journal Article
34201139,Study Title for PMID 34201139,Abstract text for PMID 34201139,"Author1, Author2 et al.",Journal Name,2023,10.1000/34201139,"Fibromyalgia, Microbiome",Journal Article
34069166,Study Title for PMID 34069166,Abstract text for PMID 34069166,"Author1, Author2 et al.",Journal Name,2023,10.1000/34069166,"Fibromyalgia, Microbiome",Journal Article
33468164,Study Title for PMID 33468164,Abstract text for PMID 33468164,"Author1, Author2 et al.",Journal Name,2023,10.1000/33468164,"Fibromyalgia, Microbiome",Journal Article
33331911,Study Title for PMID 33331911,Abstract text for PMID 33331911,"Author1, Author2 et al.",Journal Name,2023,10.1000/33331911,"Fibromyalgia, Microbiome",Journal Article
32899756,Study Title for PMID 32899756,Abstract text for PMID 32899756,"Author1, Author2 et al.",Journal Name,2023,10.1000/32899756,"Fibromyalgia, Microbiome",Journal Article
32192466,Study Title for PMID 32192466,Abstract text for PMID 32192466,"Author1, Author2 et al.",Journal Name,2023,10.1000/32192466,"Fibromyalgia, Microbiome",Journal Article
32158700,Study Title for PMID 32158700,Abstract text for PMID 32158700,"Author1, Author2 et al.",Journal Name,2023,10.1000/32158700,"Fibromyalgia, Microbiome",Journal Article
31327695,Study Title for PMID 31327695,Abstract text for PMID 31327695,"Author1, Author2 et al.",Journal Name,2023,10.1000/31327695,"Fibromyalgia, Microbiome",Journal Article
28900158,Study Title for PMID 28900158,Abstract text for PMID 28900158,"Author1, Author2 et al.",Journal Name,2023,10.1000/28900158,"Fibromyalgia, Microbiome",Journal Article
